#timestamp [ns],p_x [m],p_y [m],p_z [m],q_w,q_x,q_y,q_z,v_x [m/s],v_y [m/s],v_z [m/s],bg_x,bg_y,bg_z,ba_x,ba_y,ba_z
1764838901185086001,-1.923167051,44.633117789,0.000000000,0.991957235,0.000000000,0.000000000,-0.126573470,0.010538559,-0.003079081,-0.000000006,0.0,0.0,0.0,0.0,0.0,0.0
1764838901207906502,-1.923102438,44.633059084,-0.000000001,0.991957439,-0.000000000,-0.000000000,-0.126571870,0.010866027,-0.004916642,0.000000133,0.0,0.0,0.0,0.0,0.0,0.0
1764838901233091554,-1.923085473,44.633038229,-0.000000000,0.991957990,0.000000000,0.000000000,-0.126567558,0.009760097,-0.002351706,0.000000076,0.0,0.0,0.0,0.0,0.0,0.0
1764838901257928561,-1.922970862,44.632963123,0.000000001,0.991958339,0.000000000,0.000000000,-0.126564821,0.010573745,-0.000331783,-0.000000160,0.0,0.0,0.0,0.0,0.0,0.0
1764838901284809199,-1.922784264,44.632870015,0.000000001,0.991958892,0.000000000,0.000000000,-0.126560486,0.011476390,-0.002781274,-0.000000072,0.0,0.0,0.0,0.0,0.0,0.0
1764838901307951371,-1.922709144,44.632881214,-0.000000001,0.991958392,0.000000000,0.000000000,-0.126564404,0.011228323,-0.001119257,0.000000140,0.0,0.0,0.0,0.0,0.0,0.0
1764838901333024609,-1.922646185,44.632916623,-0.000000000,0.991958426,0.000000000,0.000000000,-0.126564135,0.010798341,-0.000024636,0.000000102,0.0,0.0,0.0,0.0,0.0,0.0
1764838901357899207,-1.922522822,44.632907105,0.000000001,0.991958356,0.000000000,0.000000000,-0.126564688,0.011643648,0.002095476,-0.000000191,0.0,0.0,0.0,0.0,0.0,0.0
1764838901383110628,-1.922300481,44.632850264,0.000000001,0.991958794,0.000000000,0.000000000,-0.126561255,0.012952923,0.000473444,-0.000000139,0.0,0.0,0.0,0.0,0.0,0.0
1764838901407835107,-1.922351675,44.632892299,0.000000001,0.991958755,0.000000000,0.000000000,-0.126561560,0.012048901,0.000759339,-0.000000012,0.0,0.0,0.0,0.0,0.0,0.0
1764838901433164557,-1.922118771,44.632799588,-0.000000000,0.991959079,-0.000000000,-0.000000000,-0.126559020,0.013754045,-0.004267889,0.000000219,0.0,0.0,0.0,0.0,0.0,0.0
1764838901457903601,-1.922062581,44.632778594,0.000000001,0.991958960,0.000000000,0.000000000,-0.126559955,0.013357204,0.000592559,-0.000000150,0.0,0.0,0.0,0.0,0.0,0.0
1764838901483327309,-1.921929877,44.632650844,0.000000002,0.991959682,0.000000000,0.000000000,-0.126554293,0.013747310,-0.002578612,-0.000000131,0.0,0.0,0.0,0.0,0.0,0.0
1764838901507967825,-1.921895918,44.632561445,0.000000000,0.991959607,0.000000000,0.000000000,-0.126554881,0.013492554,-0.005466597,0.000000109,0.0,0.0,0.0,0.0,0.0,0.0
1764838901533109568,-1.921977820,44.632452826,0.000000000,0.991960382,0.000000000,0.000000000,-0.126548806,0.011619626,-0.007828478,0.000000247,0.0,0.0,0.0,0.0,0.0,0.0
1764838901557927687,-1.921935048,44.632385464,0.000000002,0.991959928,0.000000000,0.000000000,-0.126552369,0.010928763,-0.003010190,-0.000000066,0.0,0.0,0.0,0.0,0.0,0.0
