#timestamp [ns],p_x [m],p_y [m],p_z [m],q_w,q_x,q_y,q_z,v_x [m/s],v_y [m/s],v_z [m/s],bg_x,bg_y,bg_z,ba_x,ba_y,ba_z
1764839833182974611,-4.605481263,44.025847604,-0.000000006,0.137008945,-0.000000000,0.000000000,-0.990569810,0.008026213,0.000976804,0.000002141,0.0,0.0,0.0,0.0,0.0,0.0
1764839833207907209,-4.605609526,44.025920745,-0.000000002,0.137016729,0.000000000,0.000000000,-0.990568734,0.008334138,-0.004606079,-0.000000089,0.0,0.0,0.0,0.0,0.0,0.0
1764839833233278479,-4.605661697,44.025965551,-0.000000001,0.137018191,-0.000000000,0.000000000,-0.990568531,0.006973168,-0.002575982,-0.000000477,0.0,0.0,0.0,0.0,0.0,0.0
1764839833257875323,-4.605657101,44.025990328,-0.000000003,0.137023859,-0.000000000,0.000000000,-0.990567747,0.005303828,-0.001532564,-0.000000477,0.0,0.0,0.0,0.0,0.0,0.0
1764839833283156500,-4.605726440,44.025983845,0.000000002,0.137022871,-0.000000000,0.000000000,-0.990567884,0.005049608,0.000474746,-0.000000210,0.0,0.0,0.0,0.0,0.0,0.0
1764839833308142805,-4.605737928,44.025994306,-0.000000003,0.137024801,-0.000000000,0.000000000,-0.990567617,0.004940321,0.000354032,0.000000464,0.0,0.0,0.0,0.0,0.0,0.0
1764839833333594443,-4.605652351,44.026033951,-0.000000003,0.137021145,-0.000000000,0.000000000,-0.990568123,0.003610972,0.000948852,0.000000646,0.0,0.0,0.0,0.0,0.0,0.0
1764839833358238122,-4.605638781,44.026044346,0.000000006,0.137019954,0.000000000,0.000000000,-0.990568288,0.003483944,-0.001345926,-0.000001448,0.0,0.0,0.0,0.0,0.0,0.0
1764839833383156379,-4.605737227,44.026006261,0.000000009,0.137024861,-0.000000000,0.000000000,-0.990567609,0.005247095,0.000765650,-0.000000567,0.0,0.0,0.0,0.0,0.0,0.0
1764839833407958948,-4.605795442,44.026013852,-0.000000000,0.137027429,0.000000000,0.000000000,-0.990567254,0.006329962,0.000244123,0.000000574,0.0,0.0,0.0,0.0,0.0,0.0
1764839833433432094,-4.605903074,44.025999745,0.000000004,0.137029460,0.000000000,0.000000000,-0.990566973,0.007712812,0.001041694,0.000000321,0.0,0.0,0.0,0.0,0.0,0.0
1764839833457912828,-4.605977712,44.026007558,0.000000008,0.137030165,0.000000000,0.000000000,-0.990566875,0.007981708,-0.001846018,-0.000000894,0.0,0.0,0.0,0.0,0.0,0.0
1764839833483160602,-4.606148611,44.025972019,0.000000007,0.137028118,0.000000000,0.000000000,-0.990567158,0.008861447,-0.001584415,-0.000000925,0.0,0.0,0.0,0.0,0.0,0.0
1764839833508004702,-4.606216987,44.025971376,0.000000002,0.137026259,0.000000000,0.000000000,-0.990567415,0.008644126,-0.000113884,0.000000307,0.0,0.0,0.0,0.0,0.0,0.0
1764839833533503740,-4.606315448,44.025978743,0.000000003,0.137021279,0.000000000,0.000000000,-0.990568104,0.008231879,0.000806504,0.000000502,0.0,0.0,0.0,0.0,0.0,0.0
1764839833557858183,-4.606429365,44.026029118,0.000000008,0.137019297,0.000000000,0.000000000,-0.990568378,0.008738250,-0.003530972,-0.000000602,0.0,0.0,0.0,0.0,0.0,0.0
1764839833583100003,-4.606647600,44.025999328,0.000000001,0.137011428,0.000000000,0.000000000,-0.990569467,0.010326024,-0.003132746,-0.000000916,0.0,0.0,0.0,0.0,0.0,0.0
1764839833607993334,-4.606699197,44.026019809,0.000000001,0.137002839,0.000000000,0.000000000,-0.990570655,0.009852710,-0.001399500,-0.000000056,0.0,0.0,0.0,0.0,0.0,0.0
1764839833633459535,-4.606796439,44.026084884,0.000000002,0.136995753,0.000000000,0.000000000,-0.990571635,0.010363256,-0.001309659,0.000000181,0.0,0.0,0.0,0.0,0.0,0.0
1764839833658021457,-4.606856019,44.026175496,0.000000004,0.136996553,0.000000000,-0.000000000,-0.990571524,0.010318927,-0.003987996,0.000000159,0.0,0.0,0.0,0.0,0.0,0.0
1764839833682977550,-4.606944241,44.026233572,0.000000002,0.137000937,0.000000000,-0.000000000,-0.990570918,0.010084579,-0.003335705,-0.000000041,0.0,0.0,0.0,0.0,0.0,0.0
1764839833707942686,-4.606897724,44.026316264,0.000000004,0.137007479,0.000000000,-0.000000000,-0.990570013,0.008826337,-0.003806894,-0.000000267,0.0,0.0,0.0,0.0,0.0,0.0
1764839833733574906,-4.606719669,44.026434584,0.000000001,0.137021707,0.000000000,-0.000000000,-0.990568045,0.006601924,-0.002093285,-0.000000183,0.0,0.0,0.0,0.0,0.0,0.0
1764839833758247448,-4.606679010,44.026509827,-0.000000002,0.137029340,0.000000000,0.000000000,-0.990566989,0.006086782,-0.001200439,0.000000713,0.0,0.0,0.0,0.0,0.0,0.0
1764839833783373839,-4.606690119,44.026526830,0.000000001,0.137037993,0.000000000,-0.000000000,-0.990565792,0.006494879,-0.001037652,0.000000052,0.0,0.0,0.0,0.0,0.0,0.0
1764839833808114983,-4.606590180,44.026522991,0.000000003,0.137033128,0.000000000,-0.000000000,-0.990566465,0.005265806,0.000790696,-0.000000119,0.0,0.0,0.0,0.0,0.0,0.0
1764839833833527156,-4.606394068,44.026513758,0.000000001,0.137026706,0.000000000,0.000000000,-0.990567354,0.003208521,0.001394628,-0.000000104,0.0,0.0,0.0,0.0,0.0,0.0
1764839833858002484,-4.606376657,44.026450429,-0.000000003,0.137015247,-0.000000000,-0.000000000,-0.990568939,0.003925717,0.004755030,0.000000743,0.0,0.0,0.0,0.0,0.0,0.0
1764839833883021871,-4.606396894,44.026391873,-0.000000002,0.137008053,0.000000000,0.000000000,-0.990569934,0.005075694,0.001739694,0.000000384,0.0,0.0,0.0,0.0,0.0,0.0
1764839833907950439,-4.606386329,44.026358405,0.000000000,0.137002436,0.000000000,0.000000000,-0.990570711,0.005511423,0.001200107,-0.000000097,0.0,0.0,0.0,0.0,0.0,0.0
1764839833933539788,-4.606305908,44.026361429,-0.000000001,0.137006718,0.000000000,0.000000000,-0.990570118,0.006069564,-0.001702410,-0.000000265,0.0,0.0,0.0,0.0,0.0,0.0
1764839833957900289,-4.606218965,44.026350979,-0.000000004,0.137006875,-0.000000000,-0.000000000,-0.990570097,0.005163477,0.001686182,0.000000531,0.0,0.0,0.0,0.0,0.0,0.0
1764839833983117791,-4.606184370,44.026356362,-0.000000001,0.137013298,-0.000000000,-0.000000000,-0.990569208,0.005208733,0.000764380,0.000000331,0.0,0.0,0.0,0.0,0.0,0.0
1764839834008155995,-4.606145597,44.026398619,-0.000000002,0.137018615,-0.000000000,-0.000000000,-0.990568473,0.005246208,-0.002142179,-0.000000089,0.0,0.0,0.0,0.0,0.0,0.0
